0,49,24
50,55,52
56,102,79
103,121,112
122,130,126
131,192,161
193,197,195
198,216,207
217,242,229
243,252,247
253,309,281
310,355,332
356,359,357
360,374,367
375,383,379
384,458,421
459,520,489
521,528,524
529,547,538
548,642,595
643,683,663
684,687,685
688,734,711
735,755,745
756,790,773
791,817,804
818,858,838
859,900,879
901,945,923
946,947,946
948,964,956
965,966,965
967,987,977
988,992,990
993,1022,1007
1023,1024,1023
1025,1030,1027
1031,1037,1034
1038,1057,1047
1058,1067,1062
1068,1146,1107
1147,1175,1161
1176,1216,1196
1217,1284,1250
1285,1291,1288
1292,1371,1331
1372,1389,1380
1390,1397,1393
1398,1493,1445
1494,1539,1516
1540,1542,1541
1543,1546,1544
1547,1547,1547
1548,1588,1568
1589,1611,1600
1612,1618,1615
